,RFrac,InitialTumourSize,Cost,Turnover,ReplicateId,Time,TreatmentBranch,TTP_CT_CA,TTP_AT50_CA,AbsTimeGained_CA,RelTimeGained_CA,MaxNCycles,FinalSize_R_CT,FinalSize_R_AT,NNests,InitialMeanDist,MeanConvexity
197,0.001,0.25,0.0,0.0,49,250,MTD,,,,,2.0,347.0,269.0,3,,0.7601714470187
198,0.001,0.25,0.0,0.0,49,150,AT50,,,,,2.0,347.0,269.0,3,,0.8422833616330788
199,0.001,0.25,0.0,0.0,49,250,AT50,,,,,2.0,347.0,269.0,3,,0.7023016389083359
200,0.001,0.25,0.0,0.0,50,150,MTD,,,,,2.0,314.0,196.0,3,,0.8661628202984856
201,0.001,0.25,0.0,0.0,50,250,MTD,,,,,2.0,314.0,196.0,3,,0.7434699412685127
202,0.001,0.25,0.0,0.0,50,150,AT50,,,,,2.0,314.0,196.0,3,,0.8099404900097591
203,0.001,0.25,0.0,0.0,50,250,AT50,,,,,2.0,314.0,196.0,2,,0.66793018187126
204,0.001,0.25,0.0,0.0,51,150,MTD,,,,,2.0,198.0,194.0,3,,0.8793062600462717
205,0.001,0.25,0.0,0.0,51,250,MTD,,,,,2.0,198.0,194.0,3,,0.7782788140108649
206,0.001,0.25,0.0,0.0,51,150,AT50,,,,,2.0,198.0,194.0,3,,0.8207291927818222
207,0.001,0.25,0.0,0.0,51,250,AT50,,,,,2.0,198.0,194.0,3,,0.7155413302736023
208,0.001,0.25,0.0,0.0,52,150,MTD,,,,,3.0,237.0,177.0,3,,0.8967310497574504
209,0.001,0.25,0.0,0.0,52,250,MTD,,,,,3.0,237.0,177.0,3,,0.781540343448683
210,0.001,0.25,0.0,0.0,52,150,AT50,,,,,3.0,237.0,177.0,3,,0.8752948925578368
211,0.001,0.25,0.0,0.0,52,250,AT50,,,,,3.0,237.0,177.0,3,,0.7572867008047618
212,0.001,0.25,0.0,0.0,53,150,MTD,,,,,2.0,457.0,318.0,3,,0.8217401214944742
213,0.001,0.25,0.0,0.0,53,250,MTD,,,,,2.0,457.0,318.0,3,,0.7507379491585593
214,0.001,0.25,0.0,0.0,53,150,AT50,,,,,2.0,457.0,318.0,3,,0.8209386391297061
215,0.001,0.25,0.0,0.0,53,250,AT50,,,,,2.0,457.0,318.0,3,,0.7226356106939763
216,0.001,0.25,0.0,0.0,54,150,MTD,,,,,2.0,358.0,300.0,3,,0.8239287736570544
217,0.001,0.25,0.0,0.0,54,250,MTD,,,,,2.0,358.0,300.0,2,,0.7327294852470236
218,0.001,0.25,0.0,0.0,54,150,AT50,,,,,2.0,358.0,300.0,3,,0.7798696617784368
219,0.001,0.25,0.0,0.0,54,250,AT50,,,,,2.0,358.0,300.0,2,,0.6298062334914442
220,0.001,0.25,0.0,0.0,55,150,MTD,,,,,2.0,252.0,307.0,3,,0.8652460933305385
221,0.001,0.25,0.0,0.0,55,250,MTD,,,,,2.0,252.0,307.0,3,,0.7676905020171781
222,0.001,0.25,0.0,0.0,55,150,AT50,,,,,2.0,252.0,307.0,3,,0.8166151441659255
223,0.001,0.25,0.0,0.0,55,250,AT50,,,,,2.0,252.0,307.0,3,,0.7094050316820414
224,0.001,0.25,0.0,0.0,56,150,MTD,,,,,3.0,195.0,159.0,3,,0.8870818679504406
225,0.001,0.25,0.0,0.0,56,250,MTD,,,,,3.0,195.0,159.0,3,,0.7782248717975645
226,0.001,0.25,0.0,0.0,56,150,AT50,,,,,3.0,195.0,159.0,3,,0.8805475961148345
227,0.001,0.25,0.0,0.0,56,250,AT50,,,,,3.0,195.0,159.0,3,,0.7826008523950256
228,0.001,0.25,0.0,0.0,57,150,MTD,,,,,2.0,223.0,245.0,3,,0.8911975033932734
229,0.001,0.25,0.0,0.0,57,250,MTD,,,,,2.0,223.0,245.0,3,,0.7818184648370351
230,0.001,0.25,0.0,0.0,57,150,AT50,,,,,2.0,223.0,245.0,3,,0.8543454100732258
231,0.001,0.25,0.0,0.0,57,250,AT50,,,,,2.0,223.0,245.0,3,,0.7200684399398835
232,0.001,0.25,0.0,0.0,58,150,MTD,,,,,2.0,281.0,159.0,3,,0.9204442514919381
233,0.001,0.25,0.0,0.0,58,250,MTD,,,,,2.0,281.0,159.0,3,,0.7810728473287659
234,0.001,0.25,0.0,0.0,58,150,AT50,,,,,2.0,281.0,159.0,3,,0.8738407176419627
235,0.001,0.25,0.0,0.0,58,250,AT50,,,,,2.0,281.0,159.0,3,,0.7659558532007376
236,0.001,0.25,0.0,0.0,59,150,MTD,,,,,2.0,302.0,202.0,3,,0.8615945783556279
237,0.001,0.25,0.0,0.0,59,250,MTD,,,,,2.0,302.0,202.0,3,,0.7869227603279777
238,0.001,0.25,0.0,0.0,59,150,AT50,,,,,2.0,302.0,202.0,3,,0.8918593965476752
239,0.001,0.25,0.0,0.0,59,250,AT50,,,,,2.0,302.0,202.0,3,,0.8108534351631028
240,0.001,0.25,0.0,0.0,60,150,MTD,,,,,3.0,121.0,98.0,3,,0.9051249622536579
241,0.001,0.25,0.0,0.0,60,250,MTD,,,,,3.0,121.0,98.0,3,,0.8834996039464006
242,0.001,0.25,0.0,0.0,60,150,AT50,,,,,3.0,121.0,98.0,3,,0.9339701873934437
243,0.001,0.25,0.0,0.0,60,250,AT50,,,,,3.0,121.0,98.0,3,,0.8698546178207968
244,0.001,0.25,0.0,0.0,61,150,MTD,,,,,3.0,206.0,203.0,3,,0.8677259121949824
245,0.001,0.25,0.0,0.0,61,250,MTD,,,,,3.0,206.0,203.0,3,,0.8080002170310844
246,0.001,0.25,0.0,0.0,61,150,AT50,,,,,3.0,206.0,203.0,3,,0.8704532607068775
247,0.001,0.25,0.0,0.0,61,250,AT50,,,,,3.0,206.0,203.0,3,,0.7541831360107603
248,0.001,0.25,0.0,0.0,62,150,MTD,,,,,2.0,244.0,203.0,3,,0.8741026780718107
